Player_Name,Base_Price,Price_Paid,Status,Current_Team,Previous_Teams
Armaan Jaffer,2000000,,Unsold,,( Prev Teams: KXIP )
Arshdeep Singh,2000000,,Unsold,,
Arun Chaprana,2000000,,Unsold,,
Arun Karthik,2000000,,Unsold,,"( Prev Teams: RCB,CSK )"
Aryan Juyal,2000000,,Unsold,,
Arzan Nagwaswalla,2000000,,Unsold,,
Atharva Ankolekar,2000000,,Unsold,,
Atit Sheth,2000000,,Unsold,,
Avi Barot,2000000,,Unsold,,
Ayush Badoni,2000000,,Unsold,,
Azim Kazi,2000000,,Unsold,,
Baba Aparajith,2000000,,Unsold,,( Prev Teams: RPS )
Baltej Singh,2000000,,Unsold,,
Bavanaka Sandeep,2000000,,Unsold,,( Prev Teams: SRH )
Ben Duckett,5000000,,Unsold,,
Ben Dwarshuis,3000000,,Unsold,,( Prev Teams: KXIP )
Ben McDermott,5000000,,Unsold,,
Beuran Hendricks,5000000,,Unsold,,"( Prev Teams: KXIP,MI )"
Billy Stanlake,10000000,,Unsold,,"( Prev Teams: RCB,SRH )"
Blair Tickner,5000000,,Unsold,,
Brendan Doggett,4000000,,Unsold,,
Carlos Brathwaite,5000000,,Unsold,,"( Prev Teams: KKR,DC,SRH )"
Chaitanya Bishnoi,2000000,,Unsold,,( Prev Teams: CSK )
Chama Milind,2000000,,Unsold,,"( Prev Teams: DC,SRH )"
Cheepurapalli Stephen,2000000,,Unsold,,
Chemar Holder,5000000,,Unsold,,
Chris Green,3000000,,Unsold,,( Prev Teams: KKR )
Colin de Grandhomme,5000000,,Unsold,,"( Prev Teams: RCB,KKR )"
Colin Munro,5000000,,Unsold,,"( Prev Teams: KKR,DC )"
Corey Anderson,7500000,,Unsold,,"( Prev Teams: RCB,DC,MI )"
Darren Bravo,7500000,,Unsold,,( Prev Teams: KKR )
Daryl Mitchell,5000000,,Unsold,,
Daryn Dupavillon,5000000,,Unsold,,
Dasun Shanaka,5000000,,Unsold,,
David Wiese,5000000,,Unsold,,( Prev Teams: RCB )
David Willey,15000000,,Unsold,,( Prev Teams: CSK )
Deepraj Gaonkar,2000000,,Unsold,,
Devon Conway,5000000,,Unsold,,
Dhruv Jurel,2000000,,Unsold,,
Dhruv Patel,2000000,,Unsold,,
Dhruv Shorey,2000000,,Unsold,,( Prev Teams: CSK )
Digvijay Deshmukh,2000000,,Unsold,,( Prev Teams: MI )
Dikshanshu Negi,2000000,,Unsold,,
Dushmantha Chameera,5000000,,Unsold,,( Prev Teams: RR )
Dwaine Pretorius,5000000,,Unsold,,
Evin Lewis,10000000,,Unsold,,( Prev Teams: MI )
Fazal Haque,4000000,,Unsold,,
Fidel Edwards,7500000,,Unsold,,( Prev Teams: DCH )
Finn Allen,2000000,,Unsold,,
Ganeshan Periyaswamy,2000000,,Unsold,,
George Garton,2000000,,Unsold,,
George Linde,5000000,,Unsold,,
Gerald Coetzee,2000000,,Unsold,,
Glenn Phillips,5000000,,Unsold,,
Govinda Poddar,2000000,,Unsold,,
Gurkeerat Singh Mann,5000000,,Unsold,,"( Prev Teams: RCB,KXIP,DC )"
Hanuma Vihari,10000000,,Unsold,,"( Prev Teams: DCH,SRH )"
Hardus Viljoen,5000000,,Unsold,,( Prev Teams: KXIP )
Harpreet Singh Bhatia,2000000,,Unsold,,"( Prev Teams: RCB,KKR,PWI )"
Harsh Tyagi,2000000,,Unsold,,
Hilton Cartwright,7500000,,Unsold,,
Himanshu Rana,2000000,,Unsold,,
Himmat Singh,2000000,,Unsold,,( Prev Teams: RCB )
Ish Sodhi,5000000,,Unsold,,( Prev Teams: RR )
Isuru Udana,5000000,,Unsold,,( Prev Teams: RCB )
Jack Wildermuth,5000000,,Unsold,,
Jacob Duffy,5000000,,Unsold,,
Jacques Snyman,2000000,,Unsold,,
Jake Weatherald,2000000,,Unsold,,
James Faulkner,7500000,,Unsold,,"( Prev Teams: KXIP,RR,PWI,GL )"
Jason Behrendorff,10000000,,Unsold,,( Prev Teams: MI )
Jason Roy,20000000,,Unsold,,"( Prev Teams: DC,DCH,GL )"
Jay Bista,2000000,,Unsold,,
Jayden Seales,2000000,,Unsold,,
Joel Paris,5000000,,Unsold,,
Jon-Russ Jaggesar,2000000,,Unsold,,
Josh Clarkson,2000000,,Unsold,,
Josh Inglis,2000000,,Unsold,,
Kalliparambil Rojith,2000000,,Unsold,,
Karan Sharma,2000000,,Unsold,,
Karanveer Singh,2000000,,Unsold,,
Karim Janat,5000000,,Unsold,,
Karn Kaushal,2000000,,Unsold,,
Karthik Meiyappan,2000000,,Unsold,,
Kartik Kakade,2000000,,Unsold,,
Kedar Devdhar,2000000,,Unsold,,
Keemo Paul,7500000,,Unsold,,( Prev Teams: DC )
Kevin Koththigoda,2000000,,Unsold,,
Khrievitso Kense,2000000,,Unsold,,
Krishnan Shrijith,2000000,,Unsold,,
Kshitiz Sharma,2000000,,Unsold,,( Prev Teams: CSK )
Kuldeep Sen,2000000,,Unsold,,
Kulwant Khejroliya,2000000,,Unsold,,"( Prev Teams: RCB,MI )"
Kusal Perera,5000000,,Unsold,,( Prev Teams: RR )
Kushal Wadhwani,2000000,,Unsold,,
Kyle Mayers,5000000,,Unsold,,
Latest Kumar,2000000,,Unsold,,
Lewis Gregory,15000000,,Unsold,,
Liam Plunkett,20000000,,Unsold,,( Prev Teams: DC )
M Mohammed,2000000,,Unsold,,
Maheesh Theekshana,2000000,,Unsold,,
Mahmudullah,7500000,,Unsold,,
Mark Steketee,4000000,,Unsold,,
Mark Wood,20000000,,Not in Auction,,( Prev Teams: CSK )
Marnus Labuschagne,10000000,,Unsold,,
Martin Guptill,5000000,,Unsold,,"( Prev Teams: KXIP,MI,SRH )"
Matt Henry,5000000,,Unsold,,( Prev Teams: KXIP )
Matthew Kelly,2000000,,Unsold,,
Matthew Wade,10000000,,Unsold,,( Prev Teams: DC )
Max Bryant,2000000,,Unsold,,
MD Nidheesh,2000000,,Unsold,,( Prev Teams: MI )
Milind Tandon,2000000,,Unsold,,( Prev Teams: RPS )
Mitchell McClenaghan,5000000,,Unsold,,( Prev Teams: MI )
Mohammad Saifuddin,5000000,,Unsold,,
Mohammed Taha,2000000,,Unsold,,
Mohit Sharma,5000000,,Unsold,,"( Prev Teams: KXIP,CSK,DC )"
Morne Morkel,15000000,,Unsold,,"( Prev Teams: KKR,DC,RR )"
Mujtaba Yousuf,2000000,,Unsold,,
Mukesh Choudhary,2000000,,Unsold,,
Nachiket Bhute,2000000,,Unsold,,
Nathan Ellis,2000000,,Unsold,,
Nathan McAndrew,2000000,,Unsold,,
Naushad Shaikh,2000000,,Unsold,,
Naveen-ul-Haq,5000000,,Unsold,,
Nayan Doshi,2000000,,Unsold,,
Neil Wagner,5000000,,Unsold,,
Nikhil Naik,2000000,,Unsold,,"( Prev Teams: KKR,KXIP )"
Noor Ahmad,2000000,,Unsold,,
Obed McCoy,5000000,,Unsold,,
Oshane Thomas,5000000,,Unsold,,( Prev Teams: RR )
Pankaj Jaswal,2000000,,Unsold,,( Prev Teams: MI )
Pardeep Sahu,2000000,,Unsold,,"( Prev Teams: KXIP,RR )"
Parth Sahani,2000000,,Unsold,,
Parvez Rasool,5000000,,Unsold,,"( Prev Teams: RCB,PWI,SRH )"
Pradeep Sangwan,2000000,,Unsold,,"( Prev Teams: KKR,DC,MI,GL )"
Pratham Singh,2000000,,Unsold,,( Prev Teams: GL )
Prathamesh Dake,2000000,,Unsold,,
Pratyush Singh,2000000,,Unsold,,( Prev Teams: DC )
Prayas Ray Barman,2000000,,Unsold,,( Prev Teams: RCB )
Prerak Mankad,2000000,,Unsold,,
Prince Balwant Rai,2000000,,Unsold,,( Prev Teams: MI )
Prithvi Raj,2000000,,Unsold,,"( Prev Teams: KKR,SRH )"
Qais Ahmad,5000000,,Unsold,,
Rahmanullah Gurbaz,5000000,,Unsold,,
Rahul K Singh,2000000,,Unsold,,
Rahul Sharma,5000000,,Unsold,,"( Prev Teams: CSK,DC,DCH,PWI )"
Rahul Singh,2000000,,Unsold,,
Rajjakuddin Ahmed,2000000,,Unsold,,
Rassie van der Dussen,5000000,,Unsold,,
Ravi Bopara,5000000,,Unsold,,"( Prev Teams: KXIP,SRH )"
Ravi Teja,2000000,,Unsold,,
Ravi Thakur,2000000,,Unsold,,
Reece Topley,5000000,,Unsold,,
Rishi Dhawan,5000000,,Unsold,,"( Prev Teams: KKR,KXIP,MI )"
Rohan Kadam,2000000,,Unsold,,
Rohit Sharma,2000000,,Unsold,,
Romario Shepherd,5000000,,Unsold,,
Ronit More,2000000,,Unsold,,( Prev Teams: CSK )
Rovman Powell,5000000,,Unsold,,( Prev Teams: KKR )
Saahil Jain,2000000,,Unsold,,
Sadiq Kirmani,2000000,,Unsold,,
Sagar Udeshi,2000000,,Unsold,,
Sandeep Kumar,2000000,,Unsold,,
Sandeep Lamichhane,4000000,,Unsold,,( Prev Teams: DC )
Saurabh Dubey,2000000,,Unsold,,
Sayan Ghosh,2000000,,Unsold,,"( Prev Teams: KKR,DC )"
Scott Kuggeleijn,5000000,,Unsold,,( Prev Teams: CSK )
Sean Abbott,5000000,,Unsold,,( Prev Teams: RCB )
Shams Mulani,2000000,,Unsold,,
Shannon Gabriel,5000000,,Unsold,,
Shashank Singh,2000000,,Unsold,,"( Prev Teams: DC,RR )"
Shaun Marsh,15000000,,Unsold,,( Prev Teams: KXIP )
Sheldon Cottrell,10000000,,Unsold,,( Prev Teams: KXIP )
Sherfane Rutherford,7500000,,Unsold,,"( Prev Teams: DC,MI )"
Shivam Chauhan,2000000,,Unsold,,
Shoaib Md Khan,2000000,,Unsold,,
Shubham Agarwal,2000000,,Unsold,,( Prev Teams: GL )
Shubham Singh,2000000,,Unsold,,
Shubhang Hegde,2000000,,Unsold,,
Siddhesh Lad,2000000,,Unsold,,"( Prev Teams: KKR,MI )"
Simarjeet Singh,2000000,,Unsold,,
Smit Patel,2000000,,Unsold,,
Sonu Yadav,2000000,,Unsold,,
Stuart Binny,5000000,,Unsold,,"( Prev Teams: RCB,RR,MI )"
Subhranshu Senapati,2000000,,Unsold,,
Suboth Bhati,2000000,,Unsold,,
Sudhesan Midhun,2000000,,Unsold,,( Prev Teams: RR )
Sumit Kumar,2000000,,Unsold,,
Tajinder Singh,2000000,,Unsold,,"( Prev Teams: KXIP,MI )"
Tanay Thyagarajan,2000000,,Unsold,,
Tanveer Sangha,2000000,,Unsold,,
Tejas Baroka,2000000,,Unsold,,( Prev Teams: GL )
Thisara Perera,5000000,,Unsold,,"( Prev Teams: KXIP,CSK,MI,KTK,SRH,RPS )"
Tilak Varma,2000000,,Unsold,,
Tim David,2000000,,Unsold,,
Tim Southee,7500000,,Unsold,,"( Prev Teams: RCB,CSK,RR,MI )"
TM Ul-Haq,2000000,,Unsold,,
Tushar Deshpande,2000000,,Unsold,,( Prev Teams: DC )
Umran Malik,2000000,,Unsold,,
Varun Aaron,5000000,,Unsold,,"( Prev Teams: RCB,KXIP,DC,RR )"
Varun Choudhary,2000000,,Unsold,,
Vijayakanth Viyaskanth,2000000,,Unsold,,
Vishnu Solanki,2000000,,Unsold,,
Vivek Singh,2000000,,Unsold,,
Wanindu Hasaranga,5000000,,Unsold,,
Wayne Parnell,5000000,,Unsold,,"( Prev Teams: DC,PWI )"
Wes Agar,2000000,,Unsold,,
Zeeshan Ansari,2000000,,Unsold,,
